

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
122.867  000.091  000.091: require('lspconfig.server_configurations.tsserver')
122.877  001.234  000.125: require('typescript.lsp')
122.879  001.480  000.118: require('typescript')
123.189  000.174  000.174: require('ufo.utils')
123.623  000.102  000.102: require('promise-async.utils')
123.746  000.122  000.122: require('promise-async.error')
123.863  000.112  000.112: require('promise-async.loop')
123.866  000.564  000.229: require('promise')
123.995  000.128  000.128: require('ufo.lib.log')
123.996  000.806  000.114: require('ufo.provider')
124.261  000.104  000.104: require('ufo.config')
124.518  000.128  000.128: require('promise-async.compat')
124.519  000.257  000.129: require('async')
124.700  000.083  000.083: require('ufo.lib.disposable')
124.702  000.181  000.098: require('ufo.lib.event')
125.161  000.149  000.149: require('ufo.model.buffer')
125.256  000.094  000.094: require('ufo.model.foldedline')
125.258  000.400  000.157: require('ufo.model.foldbuffer')
125.368  000.109  000.109: require('ufo.bufmanager')
125.591  000.109  000.109: require('ufo.wffi')
125.592  000.223  000.114: require('ufo.fold.driver')
125.593  000.891  000.159: require('ufo.fold.manager')
125.689  000.094  000.094: require('ufo.lib.debounce')
125.693  001.696  000.169: require('ufo.fold')
126.183  000.111  000.111: require('ufo.highlight')
126.282  000.098  000.098: require('ufo.render.extmark')
126.935  000.104  000.104: require('vim.treesitter.language')
126.940  000.378  000.274: require('vim.treesitter.query')
127.353  000.240  000.240: require('vim.treesitter.languagetree')
127.357  000.416  000.176: require('vim.treesitter')
127.362  000.978  000.184: require('vim.treesitter.highlighter')
127.363  001.081  000.103: require('ufo.render.treesitter')
127.456  000.092  000.092: require('ufo.render.match')
127.458  001.544  000.163: require('ufo.render')
127.460  001.766  000.222: require('ufo.decorator')
127.846  000.166  000.166: require('ufo.preview.floatwin')
127.968  000.121  000.121: require('ufo.preview.scrollbar')
128.069  000.100  000.100: require('ufo.preview.winbar')
128.183  000.113  000.113: require('ufo.preview.keymap')
128.186  000.726  000.225: require('ufo.preview')
128.189  005.308  000.139: require('ufo.main')
128.375  000.087  000.087: require('lspconfig.server_configurations.html')
129.185  000.087  000.087: require('lspconfig.server_configurations.cssls')
129.530  000.105  000.105: require('lspconfig.server_configurations.tailwindcss')
129.844  000.087  000.087: require('lspconfig.server_configurations.gopls')
130.324  000.309  000.309: require('lspconfig/util')
130.461  000.136  000.136: require('lspconfig.server_configurations.rust_analyzer')
130.894  000.091  000.091: require('lspconfig.server_configurations.pylsp')
131.176  000.151  000.151: require('mason-core.managers.pip3')
131.177  000.243  000.093: require('mason-lspconfig.server_configurations.pylsp')
131.302  000.082  000.082: require('lspconfig.server_configurations.solidity')
131.584  000.082  000.082: require('lspconfig.server_configurations.svelte')
131.879  000.089  000.089: require('lspconfig.server_configurations.yamlls')
132.151  000.082  000.082: require('lspconfig.server_configurations.jsonls')
132.473  000.084  000.084: require('lspconfig.server_configurations.dockerls')
132.752  000.082  000.082: require('lspconfig.server_configurations.intelephense')
133.016  000.090  000.090: require('lspconfig.server_configurations.lua_ls')
133.191  012.176  003.365: require('abraxas.default.plugins.lsp.lspconfig')
133.389  000.133  000.133: require('null-ls.builtins.formatting.prettier')
133.475  000.083  000.083: require('null-ls.builtins.formatting.phpcsfixer')
133.573  000.093  000.093: require('null-ls.builtins.formatting.stylua')
133.777  000.202  000.202: require('null-ls.builtins.diagnostics.flake8')
133.876  000.097  000.097: require('null-ls.builtins.formatting.black')
134.152  000.126  000.126: require('null-ls.builtins.diagnostics.eslint')
134.158  000.212  000.086: require('null-ls.builtins.diagnostics.eslint_d')
134.493  000.167  000.167: require('null-ls.client')
134.505  001.313  000.326: require('abraxas.default.plugins.lsp.null-ls')
135.484  000.398  000.398: require('lsp_signature.helper')
135.498  000.912  000.513: require('lsp_signature')
135.504  000.998  000.086: require('abraxas.default.plugins.lsp.lsp_signature')
136.198  000.094  000.094: require('nvim-treesitter.compat')
137.233  000.632  000.632: require('nvim-treesitter.parsers')
137.401  000.164  000.164: require('nvim-treesitter.utils')
137.405  001.057  000.261: require('nvim-treesitter.ts_utils')
137.409  001.210  000.153: require('nvim-treesitter.tsrange')
137.513  000.104  000.104: require('nvim-treesitter.caching')
137.522  001.652  000.245: require('nvim-treesitter.query')
137.532  001.961  000.309: require('nvim-treesitter.configs')
138.101  000.157  000.157: require('nvim-treesitter.info')
138.301  000.199  000.199: require('nvim-treesitter.shell_command_selectors')
138.325  000.786  000.429: require('nvim-treesitter.install')
140.818  005.313  002.566: require('abraxas.default.plugins.treesitter')
141.129  000.118  000.118: require('gitsigns.async')
141.433  000.059  000.059: require('gitsigns.message')
141.444  000.313  000.254: require('gitsigns.config')
141.551  000.107  000.107: require('gitsigns.debug.log')
141.553  000.675  000.137: require('gitsigns')
141.837  001.018  000.343: require('abraxas.default.plugins.gitsigns')
142.086  000.156  000.156: require('go')
143.295  000.434  000.434: require('go.utils')
143.296  001.104  000.671: require('go.commands')
143.896  000.088  000.088: require('go.keybind')
144.037  000.138  000.138: require('go.alt_getopt')
144.039  000.590  000.364: require('go.dap')
144.164  000.101  000.101: require('go.mockgen')
144.519  000.199  000.199: require('go.gopls')
144.520  000.325  000.126: require('go.godoc')
144.807  000.072  000.072: require('go.list')
144.809  000.288  000.216: require('go.package')
144.891  000.081  000.081: require('go.complete')
145.107  000.142  000.142: require('go.runner')
145.108  000.216  000.074: require('go.mod')
145.119  003.281  000.421: require('abraxas.default.plugins.go-nvim')
145.175  000.055  000.055: require('abraxas.default.plugins.js-ts-nvimlf')
145.176  122.699  000.067: sourcing /Users/abraxas/.config/nvim/init.lua
145.187  002.219: sourcing vimrc file(s)
145.573  000.039  000.039: sourcing /Users/abraxas/.local/share/nvim/site/pack/packer/start/go.nvim/ftdetect/filetype.vim
145.658  000.002  000.002: sourcing /Users/abraxas/.local/share/nvim/site/pack/packer/start/guihua.lua/ftdetect/guihua.vim
145.784  000.018  000.018: sourcing /Users/abraxas/.local/share/nvim/site/pack/packer/start/rust.vim/ftdetect/rust.vim
145.850  000.006  000.006: sourcing /Users/abraxas/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
146.054  000.663  000.598: sourcing /usr/local/share/nvim/runtime/filetype.lua
146.090  000.007  000.007: sourcing /usr/local/share/nvim/runtime/filetype.vim
146.315  000.040  000.040: sourcing /usr/local/share/nvim/runtime/syntax/synload.vim
146.389  000.237  000.197: sourcing /usr/local/share/nvim/runtime/syntax/syntax.vim
147.647  000.073  000.073: sourcing /usr/local/share/nvim/runtime/plugin/gzip.vim
147.674  000.005  000.005: sourcing /usr/local/share/nvim/runtime/plugin/health.vim
148.057  000.093  000.093: sourcing /usr/local/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
148.128  000.431  000.338: sourcing /usr/local/share/nvim/runtime/plugin/matchit.vim
148.225  000.072  000.072: sourcing /usr/local/share/nvim/runtime/plugin/matchparen.vim
148.256  000.008  000.008: sourcing /usr/local/share/nvim/runtime/plugin/netrwPlugin.vim
148.377  000.005  000.005: sourcing /Users/abraxas/.local/share/nvim/rplugin.vim
148.380  000.099  000.094: sourcing /usr/local/share/nvim/runtime/plugin/rplugin.vim
148.434  000.031  000.031: sourcing /usr/local/share/nvim/runtime/plugin/shada.vim
148.468  000.010  000.010: sourcing /usr/local/share/nvim/runtime/plugin/spellfile.vim
